latency_0,latency_1,latency_2,latency_3,latency_4,ms
11,15,15,11,1,113.611
11,15,15,1,11,113.45599999999999
15,15,1,1,11,113.449
11,11,1,15,11,113.151
11,1,11,11,15,113.148
11,1,11,15,11,113.05699999999999
15,11,1,11,1,112.98599999999999
11,1,15,11,11,112.968
11,15,1,15,1,112.966
15,1,11,11,1,112.929
11,1,15,15,1,112.888
11,1,15,1,15,112.83800000000001
15,1,11,1,11,112.83699999999999
11,11,1,11,15,112.83200000000001
11,15,1,11,11,112.795
15,11,1,1,11,112.719
11,15,1,1,15,112.45
1,11,11,15,11,112.094
1,11,11,11,15,112.028
1,11,15,11,11,111.874
1,15,11,11,11,111.83999999999999
11,1,1,15,11,111.816
1,1,15,11,15,111.74400000000001
1,1,11,15,15,111.743
1,1,15,15,11,111.741
1,15,1,15,11,111.724
11,1,1,11,15,111.653
1,11,1,15,15,111.63800000000002
15,1,1,11,1,111.622
1,15,11,15,1,111.529
15,1,1,1,11,111.46499999999999
1,15,1,11,15,111.41900000000001
1,11,15,15,1,111.33999999999999
1,15,15,11,1,111.139
1,11,15,1,15,111.11699999999999
1,15,11,1,15,110.905
1,15,15,1,11,110.847
15,11,15,1,1,110.112
15,15,11,1,1,109.984
11,11,11,15,1,109.74400000000001
11,11,11,1,15,109.435
11,11,15,11,1,109.395
11,15,11,11,1,109.36800000000001
15,11,11,1,1,109.31299999999999
11,11,15,1,11,109.23299999999999
11,15,11,1,11,109.162
11,15,15,1,1,108.851
11,11,1,15,1,108.667
11,1,15,11,1,108.41
11,1,11,1,15,108.398
11,1,11,15,1,108.379
11,15,1,11,1,108.276
11,1,15,1,11,108.246
15,11,1,1,1,108.223
15,1,11,1,1,108.21600000000001
11,11,1,1,15,108.095
11,15,1,1,11,108.06
1,11,1,15,11,107.378
11,1,1,15,1,107.363
1,1,11,11,15,107.36
1,1,15,11,11,107.321
1,1,11,15,11,107.3
1,11,11,15,1,107.13399999999999
1,15,1,11,11,107.125
11,1,1,1,15,107.114
1,11,1,11,15,107.101
1,15,11,11,1,106.901
1,11,15,11,1,106.734
1,11,11,1,15,106.692
1,11,15,1,11,106.615
1,15,11,1,11,106.43
11,15,11,1,1,104.724
11,11,15,1,1,104.719
11,1,15,1,1,103.695
11,15,1,1,1,103.569
1,1,1,15,11,102.51199999999999
1,11,1,15,1,102.425
1,1,1,11,15,102.369
1,1,11,15,1,102.261
1,15,1,11,1,102.185
1,1,11,1,15,102.047
1,1,15,11,1,102.025
1,1,15,1,11,101.978
1,11,1,1,15,101.78799999999998
1,15,1,1,11,101.676
1,15,11,1,1,101.47
1,11,15,1,1,101.43900000000001
